tweet,emotion,cause,generated_cause
I'm happy because James RT:ed and tweeted me today but I'm also sad because 5SOS keeps ignoring me every day.,happy,"james rt:ed and tweeted, but 5sos",Extract the abstract and concise cause of the emotion from this tweet: i'm happy  james rt:ed and tweeted me today  i
"I never Stop Loving You.. You are all I need, and everything to me.. I'm Grateful because I have You in every situation,YOU are my Happiness.",grateful,having the person in every situation,"Extract the abstract and concise cause of the emotion from this tweet: i never stop loving you. return only the main cause, not the"
Everything with a beginning has an end. I'm lucky because I still have you - the pony of my life.  ,lucky,having the pony of their life,Extract the abstract and concise cause of the emotion from this tweet. i'm lucky  i still have you - the pony of my life
My sister is talking about boys and dances with her bratty friend and I'm upset because she's growing up so fast ,upset,sister's fast growth and flirting with her friend,Extract the abstract and concise cause of the emotion from this tweet. my sister is talking about boys and dances with her bratty friend
My husband is so happy that I  finally got real winter boots. I'm happy because they are cute.  ,happy,getting real winter boots and finding them cute,Extract the abstract and concise cause of the emotion from this tweet. my husband is so happy that i  finally got real winter boots
I'm happy because my life is BEAUTY,happy,life being beautiful,Extract the abstract and concise cause of the emotion from this tweet: i'm happy  my life is beauty return only the main
i'm upset because niall is sporty and active and i sleep for 16 hours at a time,upset,niall's sporty and active lifestyle compared to their lack of sleep,Upset  niall is sporty and active and i sleep for 16 hours at a time return only the main cause of the emotion
it's so bittersweet because I'm happy because the shows were amazing but im sad because it's over and I've made some great friends and idk,happy,"happy because the shows were amazing, sad because it's over and made great friends",Extract the abstract and concise cause of the emotion from this tweet. it's so bittersweet  i'm happy  the shows were amazing
So I'm happy because I'm buying an acoustic guitar Sunday. ,happy,buying an acoustic guitar,"Twitter user says he's buying an acoustic guitar sunday. return only the main cause of the emotion, not the full tweet. back to mail"
I'm excited because the Super Bowl means that football season is over and Baseball season begins!  ,excited,end of football season and beginning of baseball season,Extract the abstract and concise cause of the emotion from this tweet. i'm excited  the super bowl means that football season is over and
